signalName,t,tWall,value,unit
serial:COM8/phase_u_i,184822,1786320172554,-0.004,A
serial:COM8/phase_v_i,184822,1786320172554,-0.028,A
serial:COM8/phase_w_i,184822,1786320172554,-0.052,A
serial:COM8/bench_duty,184824,1786320172554,0.000,
serial:COM8/motor_angle,184824,1786320172554,73.08,deg
serial:COM8/vbus_v,184824,1786320172554,19.561,V
serial:COM8/phase_u_v,184824,1786320172554,7.520,V
serial:COM8/phase_v_v,184824,1786320172554,7.531,V
serial:COM8/phase_w_v,184824,1786320172554,7.553,V
serial:COM8/phase_u_i,184824,1786320172554,-0.020,A
serial:COM8/phase_v_i,184824,1786320172554,-0.052,A
serial:COM8/phase_w_i,184824,1786320172554,-0.044,A
serial:COM8/bench_duty,184826,1786320172554,0.000,
serial:COM8/motor_angle,184826,1786320172554,73.10,deg
serial:COM8/vbus_v,184826,1786320172554,19.566,V
serial:COM8/phase_u_v,184826,1786320172554,7.661,V
serial:COM8/phase_v_v,184826,1786320172554,7.682,V
serial:COM8/phase_w_v,184826,1786320172554,7.688,V
serial:COM8/phase_u_i,184826,1786320172554,-0.012,A
serial:COM8/phase_v_i,184826,1786320172554,-0.044,A
serial:COM8/phase_w_i,184826,1786320172554,-0.036,A
serial:COM8/bench_duty,184828,1786320172554,0.000,
serial:COM8/motor_angle,184828,1786320172554,73.13,deg
serial:COM8/vbus_v,184828,1786320172554,19.577,V
serial:COM8/phase_u_v,184828,1786320172554,7.806,V
serial:COM8/phase_v_v,184828,1786320172554,7.812,V
serial:COM8/phase_w_v,184828,1786320172554,7.839,V
serial:COM8/phase_u_i,184828,1786320172554,-0.036,A
serial:COM8/phase_v_i,184828,1786320172554,-0.044,A
serial:COM8/phase_w_i,184828,1786320172554,-0.060,A
serial:COM8/bench_duty,184830,1786320172554,0.000,
serial:COM8/motor_angle,184830,1786320172554,73.10,deg
serial:COM8/vbus_v,184830,1786320172554,19.582,V
serial:COM8/phase_u_v,184830,1786320172554,7.952,V
serial:COM8/phase_v_v,184830,1786320172554,7.957,V
serial:COM8/phase_w_v,184830,1786320172554,7.990,V
serial:COM8/phase_u_i,184830,1786320172554,-0.044,A
serial:COM8/phase_v_i,184830,1786320172554,-0.036,A
serial:COM8/phase_w_i,184830,1786320172554,-0.044,A
serial:COM8/bench_duty,184832,1786320172554,0.000,
serial:COM8/motor_angle,184832,1786320172554,73.10,deg
serial:COM8/vbus_v,184832,1786320172554,19.582,V
serial:COM8/phase_u_v,184832,1786320172554,7.488,V
serial:COM8/phase_v_v,184832,1786320172554,7.499,V
serial:COM8/phase_w_v,184832,1786320172554,7.526,V
serial:COM8/phase_u_i,184832,1786320172554,-0.004,A
serial:COM8/phase_v_i,184832,1786320172554,-0.028,A
serial:COM8/phase_w_i,184832,1786320172554,-0.028,A
serial:COM8/bench_duty,184834,1786320172554,0.000,
serial:COM8/motor_angle,184834,1786320172554,73.06,deg
serial:COM8/vbus_v,184834,1786320172554,19.582,V
serial:COM8/phase_u_v,184834,1786320172554,7.623,V
serial:COM8/phase_v_v,184834,1786320172554,7.634,V
serial:COM8/phase_w_v,184834,1786320172554,7.655,V
serial:COM8/phase_u_i,184834,1786320172554,-0.004,A
serial:COM8/phase_v_i,184834,1786320172554,-0.052,A
serial:COM8/phase_w_i,184834,1786320172554,-0.052,A
serial:COM8/bench_duty,184836,1786320172589,0.000,
serial:COM8/motor_angle,184836,1786320172589,73.06,deg
serial:COM8/vbus_v,184836,1786320172589,19.572,V
serial:COM8/phase_u_v,184836,1786320172589,7.768,V
serial:COM8/phase_v_v,184836,1786320172589,7.785,V
serial:COM8/phase_w_v,184836,1786320172589,7.801,V
serial:COM8/phase_u_i,184836,1786320172589,-0.036,A
serial:COM8/phase_v_i,184836,1786320172589,-0.044,A
serial:COM8/phase_w_i,184836,1786320172589,-0.028,A
serial:COM8/bench_duty,184838,1786320172589,0.000,
serial:COM8/motor_angle,184838,1786320172589,73.02,deg
serial:COM8/vbus_v,184838,1786320172589,19.566,V
serial:COM8/phase_u_v,184838,1786320172589,7.925,V
serial:COM8/phase_v_v,184838,1786320172589,7.925,V
serial:COM8/phase_w_v,184838,1786320172589,7.952,V
serial:COM8/phase_u_i,184838,1786320172589,-0.020,A
serial:COM8/phase_v_i,184838,1786320172589,-0.068,A
serial:COM8/phase_w_i,184838,1786320172589,-0.052,A
serial:COM8/bench_duty,184840,1786320172589,0.000,
serial:COM8/motor_angle,184840,1786320172589,73.08,deg
serial:COM8/vbus_v,184840,1786320172589,19.566,V
