signalName,t,tWall,value,unit
serial:COM8/motor_angle,4992456,1786326464028,139.37,deg
serial:COM8/phase_u_v,4992456,1786326464028,7.590,V
serial:COM8/phase_v_v,4992456,1786326464028,7.596,V
serial:COM8/phase_w_v,4992456,1786326464028,7.623,V
serial:COM8/motor_angle,4992458,1786326464028,139.35,deg
serial:COM8/phase_u_v,4992458,1786326464028,7.747,V
serial:COM8/phase_v_v,4992458,1786326464028,7.758,V
serial:COM8/phase_w_v,4992458,1786326464028,7.785,V
serial:COM8/motor_angle,4992460,1786326464028,139.37,deg
serial:COM8/phase_u_v,4992460,1786326464028,7.893,V
serial:COM8/phase_v_v,4992460,1786326464028,7.903,V
serial:COM8/phase_w_v,4992460,1786326464028,7.930,V
serial:COM8/motor_angle,4992462,1786326464028,139.39,deg
serial:COM8/phase_u_v,4992462,1786326464028,8.055,V
serial:COM8/phase_v_v,4992462,1786326464028,8.060,V
serial:COM8/phase_w_v,4992462,1786326464028,8.092,V
serial:COM8/motor_angle,4992464,1786326464028,139.37,deg
serial:COM8/phase_u_v,4992464,1786326464028,7.553,V
serial:COM8/phase_v_v,4992464,1786326464028,7.563,V
serial:COM8/phase_w_v,4992464,1786326464028,7.596,V
serial:COM8/motor_angle,4992466,1786326464028,139.39,deg
serial:COM8/phase_u_v,4992466,1786326464028,7.704,V
serial:COM8/phase_v_v,4992466,1786326464028,7.715,V
serial:COM8/phase_w_v,4992466,1786326464028,7.731,V
serial:COM8/motor_angle,4992468,1786326464028,139.35,deg
serial:COM8/phase_u_v,4992468,1786326464028,7.855,V
serial:COM8/phase_v_v,4992468,1786326464028,7.871,V
serial:COM8/phase_w_v,4992468,1786326464028,7.887,V
serial:COM8/motor_angle,4992470,1786326464028,139.39,deg
serial:COM8/phase_u_v,4992470,1786326464028,8.001,V
serial:COM8/phase_v_v,4992470,1786326464028,8.017,V
serial:COM8/phase_w_v,4992470,1786326464028,8.033,V
serial:COM8/motor_angle,4992472,1786326464028,139.42,deg
serial:COM8/phase_u_v,4992472,1786326464028,7.509,V
serial:COM8/phase_v_v,4992472,1786326464028,7.515,V
serial:COM8/phase_w_v,4992472,1786326464028,7.542,V
